cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV3133-R,SBS19,0.36621989433033203,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS16,0.3616132994994886,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS26,0.36063089945601484,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS41,0.3559110303008325,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS86,0.34649105750520903,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS10b,0.31258788378148467,POLE proofreading,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS88,0.28330973104294277,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS85,0.2745364420089785,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS21,0.24702216691634346,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS2,0.23544331534498425,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS7d,0.2343945305245386,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS10d,0.2255261826679538,POLE proofreading,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS13,0.22478714252450785,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS22,0.20486573571337033,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS7c,0.20173293531015296,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS33,0.19886811063515808,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS91,0.19676792315138966,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS17a,0.1823904296822468,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS10a,0.15108108079130758,POLE proofreading,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS90,0.11997071473915122,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS34,0.11505442128232357,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS28,0.08338587231753003,POLE proofreading,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS17b,0.06588645408708621,other,COSMIC_v3.2,GRCh38,437
OV3133-R2,SBS5,0.7952125769903043,clock-like (age),COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS40,0.7282311260563349,clock-like (age),COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS3,0.7063856843652514,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS94,0.6746038200087916,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS92,0.6648212899350485,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS6,0.6281290718864233,MMR-d / MSI,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS25,0.6240546997466048,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS87,0.6059741626555762,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS89,0.6018615316387411,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS44,0.5748484045319592,MMR-d / MSI,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS30,0.526365720785003,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS4,0.5222010505544697,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS24,0.5212432433951363,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS29,0.5175322717510792,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS18,0.5143445566954963,other,COSMIC_v3.2,GRCh38,395
OV3133-R2,SBS42,0.5127413367214718,other,COSMIC_v3.2,GRCh38,395
